State Name,County Name,NAICS Description,Establishments
Georgia,Worth,Amusement,3
Georgia,Worth,Religious,20
Hawaii,Hawaii,Amusement,43
Hawaii,Hawaii,Religious,230
Hawaii,Honolulu,Amusement,146
Hawaii,Honolulu,Religious,"1,251"
Hawaii,Kauai,Amusement,26
Hawaii,Kauai,Religious,104
Hawaii,Maui,Amusement,73
Hawaii,Maui,Religious,263
Idaho,Ada,Amusement,156
Idaho,Ada,Religious,428
Idaho,Bannock,Amusement,20
Idaho,Bannock,Religious,56
Idaho,Bingham,Amusement,6
Idaho,Bingham,Religious,12
Idaho,Blaine,Amusement,18
Idaho,Blaine,Religious,53
Idaho,Boise,Amusement,10
Idaho,Boise,Religious,10
Idaho,Bonner,Amusement,21
Idaho,Bonner,Religious,60
Idaho,Bonneville,Amusement,28
Idaho,Bonneville,Religious,60
Idaho,Boundary,Amusement,4
Idaho,Boundary,Religious,10
Idaho,Canyon,Amusement,34
Idaho,Canyon,Religious,114
Idaho,Cassia,Amusement,9
Idaho,Cassia,Religious,9
Idaho,Clearwater,Amusement,5
Idaho,Clearwater,Religious,10
Idaho,Custer,Amusement,17
Idaho,Custer,Religious,8
Idaho,Elmore,Amusement,6
Idaho,Elmore,Religious,13
Idaho,Fremont,Amusement,7
Idaho,Fremont,Religious,10
Idaho,Gem,Amusement,8
Idaho,Gem,Religious,16
Idaho,Gooding,Amusement,5
Idaho,Gooding,Religious,11
Idaho,Idaho,Amusement,21
Idaho,Idaho,Religious,11
Idaho,Jerome,Amusement,5
Idaho,Jerome,Religious,15
Idaho,Kootenai,Amusement,79
Idaho,Kootenai,Religious,121
Idaho,Latah,Amusement,7
Idaho,Latah,Religious,58
Idaho,Lemhi,Amusement,22
Idaho,Lemhi,Religious,11
Idaho,Madison,Amusement,9
Idaho,Madison,Religious,7
Idaho,Minidoka,Amusement,3
Idaho,Minidoka,Religious,12
Idaho,Nez Perce,Amusement,12
Idaho,Nez Perce,Religious,45
Idaho,Payette,Amusement,3
Idaho,Payette,Religious,17
Idaho,Power,Amusement,3
Idaho,Power,Religious,3
Idaho,Shoshone,Amusement,8
Idaho,Shoshone,Religious,10
Idaho,Teton,Amusement,15
Idaho,Teton,Religious,14
Idaho,Twin Falls,Amusement,33
Idaho,Twin Falls,Religious,79
Idaho,Valley,Amusement,21
Idaho,Valley,Religious,24
Idaho,Washington,Amusement,4
Idaho,Washington,Religious,8
Illinois,Adams,Amusement,29
Illinois,Adams,Religious,105
Illinois,Bond,Amusement,4
Illinois,Bond,Religious,27
Illinois,Boone,Amusement,17
Illinois,Boone,Religious,28
Illinois,Bureau,Amusement,10
Illinois,Bureau,Religious,50
Illinois,Champaign,Amusement,70
Illinois,Champaign,Religious,251
Illinois,Christian,Amusement,13
Illinois,Christian,Religious,52
Illinois,Clay,Amusement,4
Illinois,Clay,Religious,32
Illinois,Clinton,Amusement,13
Illinois,Clinton,Religious,51
Illinois,Coles,Amusement,14
Illinois,Coles,Religious,66
